Customers,Quantity,Date,Total Payment in TND
Banque de Tunisie (BT),133,2004-11-21,2553999
Amen Bank (AB),82,2006-10-10,1635818
Amen Bank (AB),28,2010-12-13,401464
Amen Bank (AB),137,2009-07-23,1956223
Amen Bank (AB),158,2002-08-06,2235700
Banque Nationale Agricole (BNA),61,2021-05-04,724985
Attijari Bank,130,2013-06-05,1620450
Banque Internationale Arabe de Tunisie (BIAT),89,2011-10-01,1022165
La Poste Tunisienne,98,2009-03-11,1119650
La Poste Tunisienne,109,2005-06-11,1565131
Banque Tuniso-Libyenne (BTL),58,2009-05-10,983564
Attijari Bank,137,2021-06-25,2179396
Banque Internationale Arabe de Tunisie (BIAT),194,2020-04-24,3822964
Arab Tunisian Bank (ATB),24,2020-07-05,402960
Banque Tuniso-Libyenne (BTL),102,2022-04-01,1240422
Banque Nationale Agricole (BNA),139,2009-12-14,2396777
Banque Nationale Agricole (BNA),122,2017-12-19,1959564
Banque Nationale Agricole (BNA),180,2021-08-25,2426220
Arab Banking Corporation (ABC),196,2010-06-12,3053092
Banque de Tunisie (BT),181,2012-02-23,3615656
Banque de Tunisie (BT),114,2013-12-31,1270074
Attijari Bank,25,2000-11-09,494175
Banque de Tunisie (BT),153,2009-07-18,2628999
Banque de Tunisie (BT),71,2014-05-15,1092548
Arab Tunisian Bank (ATB),130,2014-09-19,2463760
Arab Banking Corporation (ABC),92,2017-10-13,1120652
Banque Tuniso-Libyenne (BTL),187,2003-12-03,3660151
Amen Bank (AB),163,2007-02-03,1889496
Arab Banking Corporation (ABC),179,2017-01-12,2583686
Arab Tunisian Bank (ATB),184,2020-05-18,2478296
Banque de Tunisie (BT),56,2012-02-28,806680
Arab Tunisian Bank (ATB),91,2007-02-27,1468103
Arab Banking Corporation (ABC),86,2009-04-17,1063218
Banque de Tunisie (BT),70,2009-03-26,1067710
Arab Tunisian Bank (ATB),88,2010-11-09,1146376
Arab Banking Corporation (ABC),141,2004-07-07,2576493
Banque Nationale Agricole (BNA),134,2009-02-25,2529518
La Poste Tunisienne,152,2015-04-06,1585360
Arab Tunisian Bank (ATB),156,2023-03-22,2527824
La Poste Tunisienne,31,2004-12-30,429939
Banque Internationale Arabe de Tunisie (BIAT),27,2017-07-03,398250
Attijari Bank,49,2009-11-19,677866
Banque de Tunisie (BT),73,2020-09-15,1064194
Banque Internationale Arabe de Tunisie (BIAT),180,2018-01-31,3535020
Banque de Tunisie (BT),165,2013-08-18,3177240
Banque de l'Habitat (BH),161,2018-03-24,3038553
La Poste Tunisienne,24,2002-04-26,281976
Arab Tunisian Bank (ATB),188,2010-01-19,2714720
Amen Bank (AB),185,2021-12-04,2336550
Arab Banking Corporation (ABC),116,2004-01-12,1405108
Amen Bank (AB),90,2004-03-17,1114470
Banque Tuniso-Libyenne (BTL),195,2017-05-28,3716505
Attijari Bank,83,2001-06-29,1212132
Attijari Bank,196,2006-08-08,2652272
Arab Banking Corporation (ABC),83,2020-02-28,891503
Banque de Tunisie (BT),72,2013-05-03,825696
Amen Bank (AB),103,2003-06-27,1623589
Banque de Tunisie (BT),42,2005-04-24,782418
Amen Bank (AB),90,2009-04-29,1292130
Attijari Bank,36,2013-12-05,620748
Banque Tuniso-Libyenne (BTL),127,2022-01-10,2521204
Arab Banking Corporation (ABC),33,2023-01-23,369699
Banque Nationale Agricole (BNA),131,2011-08-31,1835703
Arab Tunisian Bank (ATB),36,2005-12-30,452088
Banque de Tunisie (BT),87,2017-07-09,1008765
Arab Banking Corporation (ABC),100,2014-03-03,1361700
Banque de Tunisie (BT),86,2013-09-14,1418914
Banque Tuniso-Libyenne (BTL),69,2005-05-22,1257870
Amen Bank (AB),31,2001-06-10,543275
Arab Banking Corporation (ABC),132,2016-02-24,1526184
Banque Tuniso-Libyenne (BTL),161,2017-06-15,1686314
Banque Tuniso-Libyenne (BTL),165,2021-09-29,2079990
Banque Tuniso-Libyenne (BTL),190,2013-03-05,3067360
Banque Tuniso-Libyenne (BTL),155,2019-08-20,1719260
Amen Bank (AB),147,2023-10-27,2309517
Banque Nationale Agricole (BNA),75,2013-04-23,1421700
Banque Internationale Arabe de Tunisie (BIAT),197,2018-11-01,2340951
Amen Bank (AB),85,2021-02-24,1227655
Banque Internationale Arabe de Tunisie (BIAT),77,2022-02-23,1493030
Arab Banking Corporation (ABC),179,2015-05-23,3180293
Banque de l'Habitat (BH),182,2012-11-21,2637726
Arab Tunisian Bank (ATB),149,2017-02-05,2543877
La Poste Tunisienne,124,2014-04-04,1701528
Banque Nationale Agricole (BNA),104,2008-12-02,1777568
Banque Nationale Agricole (BNA),169,2005-09-30,2390843
Banque Tuniso-Libyenne (BTL),133,2005-09-07,1872507
Amen Bank (AB),152,2020-04-28,1797248
Banque Internationale Arabe de Tunisie (BIAT),198,2007-06-11,2790414
Banque Nationale Agricole (BNA),171,2020-01-19,3398967
Banque Internationale Arabe de Tunisie (BIAT),20,2009-11-18,376860
Banque Tuniso-Libyenne (BTL),23,2006-08-03,402661
Banque Internationale Arabe de Tunisie (BIAT),81,2018-07-03,1565163
Banque de Tunisie (BT),79,2001-02-01,828710
Banque de l'Habitat (BH),55,2009-05-20,935660
Banque Nationale Agricole (BNA),58,2021-08-31,1069056
Banque de l'Habitat (BH),146,2020-08-24,2388706
Arab Tunisian Bank (ATB),199,2021-10-27,2188204
La Poste Tunisienne,102,2010-10-24,1664538
La Poste Tunisienne,94,2010-08-24,1096040
Banque Internationale Arabe de Tunisie (BIAT),53,2022-05-20,587293
Banque de Tunisie (BT),37,2016-05-21,510859
Arab Tunisian Bank (ATB),67,2019-03-05,856595
La Poste Tunisienne,119,2007-04-04,1364335
Amen Bank (AB),70,2008-03-07,1275960
Banque de l'Habitat (BH),199,2011-03-29,3694833
Banque Internationale Arabe de Tunisie (BIAT),123,2016-04-21,1705026
Amen Bank (AB),95,2003-08-21,1503850
Arab Banking Corporation (ABC),78,2004-11-22,1170234
Banque de Tunisie (BT),37,2015-07-02,616679
Banque de l'Habitat (BH),66,2013-01-23,956802
Banque de l'Habitat (BH),53,2019-10-23,543250
Arab Banking Corporation (ABC),85,2018-07-02,1006995
Banque de Tunisie (BT),138,2005-05-18,2403546
Banque Nationale Agricole (BNA),187,2016-11-13,2408934
Arab Banking Corporation (ABC),63,2001-08-31,977193
Banque Internationale Arabe de Tunisie (BIAT),57,2000-11-04,915705
Amen Bank (AB),22,2003-08-25,287210
Amen Bank (AB),60,2016-01-02,1069320
Banque Nationale Agricole (BNA),176,2024-01-01,3124528
Banque Nationale Agricole (BNA),172,2019-10-18,1811332
Arab Banking Corporation (ABC),39,2023-03-22,698919
Arab Banking Corporation (ABC),60,2002-06-06,674580
Banque de Tunisie (BT),163,2017-02-08,1902536
Attijari Bank,174,2014-09-20,3423624
La Poste Tunisienne,199,2009-04-11,3719310
Banque de Tunisie (BT),47,2021-09-19,501067
Arab Tunisian Bank (ATB),80,2020-02-28,1506400
Arab Tunisian Bank (ATB),133,2001-05-19,1371895
Banque Internationale Arabe de Tunisie (BIAT),126,2000-07-26,2131038
Arab Banking Corporation (ABC),175,2012-07-16,1944775
Banque de l'Habitat (BH),189,2018-03-29,2808351
Banque Internationale Arabe de Tunisie (BIAT),52,2012-05-06,949052
Arab Banking Corporation (ABC),142,2009-02-22,2809612
Arab Tunisian Bank (ATB),125,2004-11-29,2462500
Banque Nationale Agricole (BNA),159,2018-09-06,3159966
Attijari Bank,71,2006-05-26,1003088
Arab Tunisian Bank (ATB),91,2023-10-24,1514968
Arab Banking Corporation (ABC),68,2011-03-24,1045636
Attijari Bank,37,2010-07-25,605875
Arab Banking Corporation (ABC),118,2005-05-12,2082110
Arab Tunisian Bank (ATB),160,2009-10-04,1833120
La Poste Tunisienne,171,2001-10-22,1876725
La Poste Tunisienne,169,2010-03-24,1959893
La Poste Tunisienne,126,2021-08-02,1591128
Banque de Tunisie (BT),115,2023-03-27,1404150
Amen Bank (AB),97,2001-11-12,1361104
Banque de Tunisie (BT),175,2018-04-10,2418675
Arab Tunisian Bank (ATB),184,2018-07-08,2858072
Banque de Tunisie (BT),86,2022-07-17,1301696
La Poste Tunisienne,158,2014-07-30,2996312
La Poste Tunisienne,184,2012-10-12,3465824
La Poste Tunisienne,106,2013-10-26,1323622
Banque Internationale Arabe de Tunisie (BIAT),188,2018-08-20,2478028
Banque Tuniso-Libyenne (BTL),187,2000-09-22,2049894
Arab Tunisian Bank (ATB),112,2013-12-28,1622992
Banque Nationale Agricole (BNA),39,2015-06-15,623454
Amen Bank (AB),40,2001-05-20,594160
Banque de l'Habitat (BH),153,2010-10-03,2338911
Attijari Bank,192,2004-07-27,3475392
La Poste Tunisienne,109,2010-10-13,1426374
Arab Tunisian Bank (ATB),69,2003-04-06,853185
Banque Nationale Agricole (BNA),96,2002-07-20,1089120
Banque Nationale Agricole (BNA),125,2005-03-26,1934375
Arab Tunisian Bank (ATB),145,2014-06-01,1710275
Banque Nationale Agricole (BNA),199,2014-11-10,3015845
Banque Internationale Arabe de Tunisie (BIAT),151,2023-10-21,2509318
Arab Tunisian Bank (ATB),70,2014-04-25,985460
La Poste Tunisienne,111,2007-07-31,1353978
Banque Nationale Agricole (BNA),113,2016-07-21,1550699
Arab Tunisian Bank (ATB),135,2010-03-17,1526310
Banque Internationale Arabe de Tunisie (BIAT),157,2014-04-02,2263312
La Poste Tunisienne,181,2022-07-02,3561356
Arab Banking Corporation (ABC),91,2004-06-25,1586312
La Poste Tunisienne,68,2005-09-01,827356
Arab Tunisian Bank (ATB),151,2008-10-13,1693767
Banque Tuniso-Libyenne (BTL),47,2014-06-11,872837
Banque Nationale Agricole (BNA),21,2018-03-18,309435
Banque de l'Habitat (BH),106,2010-11-06,1296274
Banque Internationale Arabe de Tunisie (BIAT),178,2020-01-30,3532766
Banque Internationale Arabe de Tunisie (BIAT),46,2018-03-09,773168
Arab Tunisian Bank (ATB),21,2021-05-08,288015
Arab Tunisian Bank (ATB),47,2009-02-27,651937
Banque Nationale Agricole (BNA),75,2021-09-29,1337475
Banque Internationale Arabe de Tunisie (BIAT),83,2018-03-13,961638
La Poste Tunisienne,93,2021-01-03,1140273
Amen Bank (AB),139,2019-01-26,1634918
Arab Banking Corporation (ABC),73,2019-01-07,997326
Banque Tuniso-Libyenne (BTL),51,2021-11-24,938757
Banque Internationale Arabe de Tunisie (BIAT),49,2018-08-30,975541
Banque Internationale Arabe de Tunisie (BIAT),43,2017-05-31,431935
Arab Banking Corporation (ABC),94,2007-02-01,1847006
Banque Tuniso-Libyenne (BTL),41,2010-04-26,646119
Banque Nationale Agricole (BNA),86,2022-08-21,1109658
Attijari Bank,150,2004-03-19,2841000
Arab Banking Corporation (ABC),174,2019-05-29,3384996
Banque Internationale Arabe de Tunisie (BIAT),136,2015-06-14,1777928
La Poste Tunisienne,32,2001-02-28,364128
Banque de l'Habitat (BH),77,2023-06-14,835604
Attijari Bank,133,2013-07-15,1785658
Amen Bank (AB),178,2016-08-10,3057150
La Poste Tunisienne,63,2023-08-23,1241289
Arab Tunisian Bank (ATB),25,2004-05-16,419100
Banque de Tunisie (BT),34,2012-02-24,626892
Banque de Tunisie (BT),169,2010-12-17,2936544
La Poste Tunisienne,49,2015-11-16,716478
Banque de Tunisie (BT),161,2001-02-06,1970962
Banque Tuniso-Libyenne (BTL),69,2006-05-11,797364
Banque Nationale Agricole (BNA),79,2009-11-08,1105131
Banque de l'Habitat (BH),43,2019-04-13,431591
Banque de Tunisie (BT),45,2016-07-07,856395
Banque de Tunisie (BT),180,2018-08-25,1827540
Banque de Tunisie (BT),122,2017-07-02,1633824
Banque Tuniso-Libyenne (BTL),149,2002-09-30,2470271
Banque Nationale Agricole (BNA),71,2017-01-04,1224892
Banque Nationale Agricole (BNA),36,2023-07-20,469152
Arab Tunisian Bank (ATB),98,2022-06-26,1309868
La Poste Tunisienne,152,2010-09-06,2583088
Banque Tuniso-Libyenne (BTL),28,2014-04-04,534016
Banque Tuniso-Libyenne (BTL),25,2018-09-05,278275
Arab Banking Corporation (ABC),84,2012-05-07,979356
Arab Banking Corporation (ABC),33,2012-06-07,483285
Banque Nationale Agricole (BNA),83,2003-10-27,1512924
Arab Banking Corporation (ABC),119,2002-03-26,1518321
Amen Bank (AB),180,2014-01-08,3275100
Banque de Tunisie (BT),106,2011-11-26,1597208
Banque Tuniso-Libyenne (BTL),176,2004-06-01,2045296
Amen Bank (AB),147,2003-07-17,2730966
Arab Banking Corporation (ABC),160,2010-06-07,2267360
Banque Tuniso-Libyenne (BTL),158,2004-01-30,1772286
Banque de Tunisie (BT),59,2014-03-03,1174690
Banque Tuniso-Libyenne (BTL),167,2005-03-09,2259844
Banque Tuniso-Libyenne (BTL),169,2019-04-03,2871479
Arab Tunisian Bank (ATB),176,2005-03-31,2214608
Banque de l'Habitat (BH),170,2006-06-01,2950520
Banque Nationale Agricole (BNA),179,2015-01-02,2797412
Arab Tunisian Bank (ATB),26,2018-07-12,335790
Arab Banking Corporation (ABC),25,2007-09-05,289425
Banque Nationale Agricole (BNA),46,2013-02-16,789866
Banque Internationale Arabe de Tunisie (BIAT),39,2023-02-11,528801
Banque de Tunisie (BT),105,2001-07-21,1854405
Banque Tuniso-Libyenne (BTL),191,2020-12-07,2265451
Banque Tuniso-Libyenne (BTL),33,2023-01-29,641421
Arab Tunisian Bank (ATB),136,2005-09-28,2154512
Banque de Tunisie (BT),115,2007-12-28,1881745
Banque Internationale Arabe de Tunisie (BIAT),34,2014-12-28,629340
Banque Internationale Arabe de Tunisie (BIAT),31,2014-10-22,345805
Banque Nationale Agricole (BNA),130,2009-03-23,2533310
Banque de Tunisie (BT),185,2004-06-17,2631255
Banque Internationale Arabe de Tunisie (BIAT),125,2019-02-11,1762375
Banque Nationale Agricole (BNA),37,2021-12-13,576497
Arab Tunisian Bank (ATB),166,2001-12-16,2444516
Banque de Tunisie (BT),117,2004-08-03,1608867
Amen Bank (AB),164,2010-04-08,1709044
Banque Internationale Arabe de Tunisie (BIAT),67,2011-09-30,1278896
Banque Tuniso-Libyenne (BTL),112,2006-07-16,1761648
Banque Tuniso-Libyenne (BTL),139,2011-07-07,2027454
Banque Tuniso-Libyenne (BTL),178,2006-10-30,1968502
La Poste Tunisienne,38,2017-01-29,567264
Banque Internationale Arabe de Tunisie (BIAT),68,2018-05-23,1344632
Banque de Tunisie (BT),75,2023-04-04,1239675
Banque Tuniso-Libyenne (BTL),55,2020-11-30,1066450
Banque Nationale Agricole (BNA),44,2016-03-30,574112
Banque Tuniso-Libyenne (BTL),107,2022-02-09,1897324
Attijari Bank,91,2009-10-05,1241604
Amen Bank (AB),98,2007-09-02,1923936
Arab Tunisian Bank (ATB),32,2003-01-13,577984
Banque Nationale Agricole (BNA),93,2004-06-11,1187145
Banque Tuniso-Libyenne (BTL),40,2014-11-28,533160
Banque Internationale Arabe de Tunisie (BIAT),196,2006-01-04,3618944
Attijari Bank,154,2021-04-12,2184798
Banque Nationale Agricole (BNA),136,2007-12-26,2265624
Arab Banking Corporation (ABC),130,2001-06-02,1934920
Banque de Tunisie (BT),39,2006-10-15,707928
Banque de Tunisie (BT),35,2003-06-15,673610
Banque de l'Habitat (BH),37,2005-12-11,563547
Amen Bank (AB),135,2012-08-21,1732725
Banque Internationale Arabe de Tunisie (BIAT),133,2019-01-21,1702001
La Poste Tunisienne,124,2016-03-16,2113704
Attijari Bank,118,2011-02-23,2082818
Banque de l'Habitat (BH),113,2016-04-25,1375662
Attijari Bank,140,2005-11-06,2789780
La Poste Tunisienne,107,2012-06-14,1123286
Banque Tuniso-Libyenne (BTL),119,2017-10-03,1405152
Attijari Bank,32,2020-05-19,552832
Arab Tunisian Bank (ATB),198,2010-01-19,2139984
Banque Tuniso-Libyenne (BTL),27,2004-06-25,467748
Amen Bank (AB),43,2010-05-20,454768
Banque de l'Habitat (BH),168,2004-07-07,3093216
Banque Nationale Agricole (BNA),76,2023-11-18,1359260
La Poste Tunisienne,58,2001-09-03,637884
Banque de Tunisie (BT),131,2014-10-27,1834655
La Poste Tunisienne,153,2000-07-09,2982888
Arab Tunisian Bank (ATB),147,2011-04-04,2278353
Banque Nationale Agricole (BNA),65,2014-11-23,819260
Banque Internationale Arabe de Tunisie (BIAT),60,2023-05-29,846600
Banque de l'Habitat (BH),20,2000-11-24,349940
Amen Bank (AB),193,2010-03-17,3218275
Banque Nationale Agricole (BNA),173,2019-08-19,2720425
Arab Banking Corporation (ABC),193,2005-10-07,3722970
Attijari Bank,183,2007-10-03,3490908
Amen Bank (AB),159,2006-11-09,1743435
Banque Nationale Agricole (BNA),34,2007-08-05,341972
Arab Banking Corporation (ABC),183,2006-11-03,2506734
Arab Tunisian Bank (ATB),139,2014-07-28,2411650
Banque de Tunisie (BT),44,2009-12-24,477092
Attijari Bank,56,2023-08-23,728504
Attijari Bank,171,2021-05-16,2945475
Banque Nationale Agricole (BNA),38,2019-06-03,399836
Amen Bank (AB),169,2001-05-30,2027493
Banque de l'Habitat (BH),33,2005-04-15,433092
Banque Tuniso-Libyenne (BTL),85,2019-01-21,1004445
Banque de l'Habitat (BH),107,2005-05-27,1989237
La Poste Tunisienne,145,2008-12-04,1674895
La Poste Tunisienne,64,2014-02-24,890752
Banque de Tunisie (BT),106,2008-09-28,1826274
Arab Banking Corporation (ABC),33,2009-01-06,581163
Arab Tunisian Bank (ATB),194,2008-05-26,3265020
Amen Bank (AB),114,2007-06-06,2061804
Amen Bank (AB),38,2017-05-31,511556
Arab Tunisian Bank (ATB),60,2009-12-25,916500
Amen Bank (AB),27,2008-10-09,478926
Attijari Bank,58,2020-03-25,1124214
Attijari Bank,30,2012-08-01,458250
Banque de Tunisie (BT),118,2008-08-20,2310558
Banque Tuniso-Libyenne (BTL),125,2011-09-14,1768125
Arab Banking Corporation (ABC),110,2011-05-14,1143780
La Poste Tunisienne,199,2017-03-10,3483893
Attijari Bank,191,2005-06-29,3787530
Banque de l'Habitat (BH),174,2006-03-26,3147138
Banque Nationale Agricole (BNA),178,2014-02-06,1991286
Banque Internationale Arabe de Tunisie (BIAT),125,2019-04-24,2389625
Amen Bank (AB),194,2013-09-09,3239994
Arab Banking Corporation (ABC),75,2011-12-07,1059075
Banque Tuniso-Libyenne (BTL),99,2003-11-29,1843875
Arab Banking Corporation (ABC),61,2018-03-14,643977
Banque de Tunisie (BT),104,2011-03-27,1065376
La Poste Tunisienne,116,2017-10-16,2080112
Banque Internationale Arabe de Tunisie (BIAT),44,2011-08-15,547360
Banque de Tunisie (BT),131,2021-11-18,2014780
La Poste Tunisienne,182,2023-07-31,2415322
Banque de Tunisie (BT),79,2013-04-13,1390242
Banque Nationale Agricole (BNA),62,2007-10-10,1190090
Banque Tuniso-Libyenne (BTL),27,2009-01-16,436914
Arab Banking Corporation (ABC),116,2018-10-08,1772016
Attijari Bank,142,2003-10-05,2618906
Banque de Tunisie (BT),44,2021-05-01,602580
Banque Internationale Arabe de Tunisie (BIAT),35,2011-09-26,421470
Banque de l'Habitat (BH),81,2017-02-11,839889
Attijari Bank,191,2002-02-23,3080448
Banque de Tunisie (BT),187,2014-04-19,2748900
Banque de Tunisie (BT),38,2013-10-11,478534
Banque Tuniso-Libyenne (BTL),193,2009-01-16,3551200
Banque Internationale Arabe de Tunisie (BIAT),56,2019-11-22,1077496
Banque de l'Habitat (BH),133,2019-03-25,1510348
Arab Tunisian Bank (ATB),119,2012-03-21,1219631
Banque Nationale Agricole (BNA),139,2001-12-30,1453940
Banque de l'Habitat (BH),80,2002-12-31,1589360
Arab Banking Corporation (ABC),145,2010-04-26,2879700
La Poste Tunisienne,186,2005-02-18,3557064
Banque de Tunisie (BT),102,2007-09-13,1422390
La Poste Tunisienne,179,2015-09-07,2140124
Banque Nationale Agricole (BNA),168,2019-12-03,1914528
Arab Tunisian Bank (ATB),34,2018-09-26,584052
Banque Tuniso-Libyenne (BTL),187,2018-05-09,3082882
Banque de Tunisie (BT),89,2005-11-28,1440198
Arab Tunisian Bank (ATB),42,2011-10-18,585312
Amen Bank (AB),32,2020-02-24,621184
Banque Tuniso-Libyenne (BTL),102,2011-01-03,1748382
Banque de Tunisie (BT),85,2000-08-05,1016600
Banque de Tunisie (BT),136,2016-07-14,2201976
La Poste Tunisienne,186,2002-10-14,2520114
Banque Nationale Agricole (BNA),171,2005-05-25,3316374
La Poste Tunisienne,38,2012-12-21,393984
Banque Nationale Agricole (BNA),175,2007-03-26,2637075
La Poste Tunisienne,68,2011-09-23,1354628
Arab Tunisian Bank (ATB),72,2011-11-07,969480
Banque Tuniso-Libyenne (BTL),72,2009-03-25,787896
La Poste Tunisienne,49,2016-02-29,534296
Amen Bank (AB),171,2012-05-16,3136311
Arab Banking Corporation (ABC),168,2014-04-04,2028768
Banque Internationale Arabe de Tunisie (BIAT),195,2019-08-04,2124135
Banque de Tunisie (BT),153,2010-12-06,2050200
Amen Bank (AB),195,2006-08-29,2673255
Amen Bank (AB),22,2006-01-16,267322
Amen Bank (AB),39,2008-10-20,519558
Banque Internationale Arabe de Tunisie (BIAT),142,2003-02-23,2464836
Banque de l'Habitat (BH),49,2019-09-23,647829
Arab Banking Corporation (ABC),37,2020-11-22,500425
Banque Internationale Arabe de Tunisie (BIAT),69,2013-01-30,1199220
Banque Tuniso-Libyenne (BTL),140,2016-08-03,2010120
Banque de Tunisie (BT),98,2003-06-24,1807120
Attijari Bank,82,2015-07-04,1545208
Banque Nationale Agricole (BNA),158,2007-11-06,1716354
Arab Tunisian Bank (ATB),167,2012-01-29,2858706
Banque de l'Habitat (BH),176,2022-05-22,2856832
Banque Nationale Agricole (BNA),186,2017-11-17,2686770
Amen Bank (AB),164,2023-08-30,2185136
Amen Bank (AB),188,2007-07-01,3530828
Arab Tunisian Bank (ATB),150,2004-01-27,2710050
Banque de l'Habitat (BH),160,2011-03-09,2059360
Attijari Bank,86,2010-01-18,1604846
Banque Internationale Arabe de Tunisie (BIAT),164,2009-03-30,2705180
La Poste Tunisienne,122,2015-12-23,1803282
Amen Bank (AB),187,2023-05-03,2063919
Banque de Tunisie (BT),157,2010-09-10,2611538
Banque Nationale Agricole (BNA),45,2016-09-01,718785
Arab Tunisian Bank (ATB),196,2022-10-30,2806524
Banque Tuniso-Libyenne (BTL),97,2004-04-02,1689255
Banque Tuniso-Libyenne (BTL),135,2004-02-09,2274075
Attijari Bank,198,2018-08-09,2026728
La Poste Tunisienne,66,2004-05-19,665082
Banque de l'Habitat (BH),157,2002-10-17,2501481
Arab Tunisian Bank (ATB),132,2020-04-23,1565388
Banque Nationale Agricole (BNA),136,2022-06-03,2166888
Arab Banking Corporation (ABC),103,2003-02-22,1423975
Banque de l'Habitat (BH),155,2004-05-28,3013975
Arab Banking Corporation (ABC),161,2013-11-25,3173793
Amen Bank (AB),174,2011-08-22,2204232
Banque de l'Habitat (BH),86,2018-04-07,1152830
Banque Tuniso-Libyenne (BTL),96,2002-07-22,1196928
La Poste Tunisienne,158,2003-12-24,2117990
Arab Banking Corporation (ABC),149,2020-02-21,1816757
Arab Banking Corporation (ABC),91,2008-02-23,1607697
Banque Nationale Agricole (BNA),147,2005-06-04,2895900
Banque Tuniso-Libyenne (BTL),69,2010-02-11,1324179
Banque Tuniso-Libyenne (BTL),33,2001-09-26,376035
Banque Nationale Agricole (BNA),191,2002-10-12,3432270
Amen Bank (AB),117,2003-10-08,1373580
Arab Tunisian Bank (ATB),107,2009-12-12,2070236
Banque Tuniso-Libyenne (BTL),130,2010-02-19,1860300
La Poste Tunisienne,198,2020-04-11,2198790
Attijari Bank,112,2018-11-08,1857296
Banque Internationale Arabe de Tunisie (BIAT),55,2019-03-25,560230
Banque de l'Habitat (BH),75,2020-08-05,1064625
Attijari Bank,119,2012-12-15,2188648
Attijari Bank,174,2004-12-15,2869086
Arab Banking Corporation (ABC),163,2004-03-17,2468146
La Poste Tunisienne,189,2020-12-08,3531843
Arab Tunisian Bank (ATB),69,2003-02-16,1212951
Attijari Bank,145,2022-12-26,1733475
Banque de Tunisie (BT),127,2016-01-03,1540510
Banque Nationale Agricole (BNA),45,2017-08-24,464535
Banque Internationale Arabe de Tunisie (BIAT),128,2005-07-23,1860224
Banque Internationale Arabe de Tunisie (BIAT),116,2009-02-26,1545468
Attijari Bank,29,2016-07-11,501526
Banque Nationale Agricole (BNA),191,2008-12-13,3043585
Arab Banking Corporation (ABC),85,2016-12-10,872100
Banque Internationale Arabe de Tunisie (BIAT),124,2013-02-01,1764520
Attijari Bank,189,2002-06-07,3186729
Attijari Bank,144,2006-06-01,2244384
Banque Nationale Agricole (BNA),165,2016-05-27,2776455
Arab Tunisian Bank (ATB),184,2019-08-29,3033976
Banque Tuniso-Libyenne (BTL),179,2007-08-10,2342931
La Poste Tunisienne,123,2016-11-08,2200224
Banque de l'Habitat (BH),156,2003-07-26,2012400
Banque de Tunisie (BT),95,2019-08-28,1371135
Banque Nationale Agricole (BNA),195,2017-03-03,3198000
Arab Banking Corporation (ABC),128,2009-02-08,1989248
Arab Banking Corporation (ABC),135,2022-04-29,1778895
Banque Internationale Arabe de Tunisie (BIAT),136,2018-11-11,1976352
Arab Tunisian Bank (ATB),71,2010-08-04,992225
Banque Nationale Agricole (BNA),89,2010-01-04,1716543
Banque Tuniso-Libyenne (BTL),85,2011-09-11,1389750
Amen Bank (AB),28,2016-03-12,419944
Banque Nationale Agricole (BNA),150,2014-09-13,2850000
Banque Nationale Agricole (BNA),167,2006-05-21,2773369
Amen Bank (AB),76,2002-10-27,1334408
Arab Tunisian Bank (ATB),41,2023-02-10,775679
Banque de Tunisie (BT),195,2011-11-30,3889860
Banque Tuniso-Libyenne (BTL),68,2006-01-22,1311788
Banque de l'Habitat (BH),115,2018-12-21,1493160
La Poste Tunisienne,93,2010-09-05,1394907
Banque de Tunisie (BT),145,2007-06-02,2717155
Amen Bank (AB),52,2006-11-14,873704
Banque Nationale Agricole (BNA),85,2011-01-21,1191360
Banque de Tunisie (BT),191,2010-10-02,3819809
Arab Banking Corporation (ABC),71,2020-06-05,815790
Banque Nationale Agricole (BNA),113,2003-11-11,1267860
Banque Nationale Agricole (BNA),176,2013-11-22,1870528
Banque de l'Habitat (BH),114,2011-01-09,1366974
La Poste Tunisienne,77,2002-09-29,1165703
Banque Tuniso-Libyenne (BTL),40,2023-01-27,787000
Arab Banking Corporation (ABC),129,2013-04-21,1909974
Banque de Tunisie (BT),122,2023-03-12,1653344
Arab Banking Corporation (ABC),102,2019-01-30,1288158
Amen Bank (AB),166,2023-01-02,2984846
Arab Banking Corporation (ABC),181,2008-12-17,2118243
Attijari Bank,122,2004-12-30,2233576
Arab Tunisian Bank (ATB),149,2017-08-05,2379679
Banque Tuniso-Libyenne (BTL),126,2010-08-12,1784664
Banque Internationale Arabe de Tunisie (BIAT),111,2022-03-30,1609611
Banque de l'Habitat (BH),24,2019-05-21,280608
La Poste Tunisienne,55,2019-08-08,897655
Banque Nationale Agricole (BNA),151,2010-03-06,1803544
La Poste Tunisienne,31,2002-12-25,377797
La Poste Tunisienne,128,2010-03-21,2048640
Banque Nationale Agricole (BNA),61,2017-09-18,888343
Amen Bank (AB),50,2004-10-12,758200
Amen Bank (AB),162,2012-08-04,2514726
Arab Banking Corporation (ABC),162,2007-10-12,1899288
Banque Internationale Arabe de Tunisie (BIAT),68,2012-05-13,748000
Banque de Tunisie (BT),155,2005-03-22,2240835
Banque de Tunisie (BT),101,2005-01-29,1635594
Attijari Bank,126,2000-10-26,1298808
Amen Bank (AB),122,2010-01-09,1453874
Arab Banking Corporation (ABC),74,2002-05-12,1340436
Banque de Tunisie (BT),117,2004-05-27,2267811
Banque Nationale Agricole (BNA),86,2013-04-26,1030194
La Poste Tunisienne,32,2015-12-17,521888
Arab Tunisian Bank (ATB),74,2003-08-10,797350
